,Unnamed: 0,Date,Category,title,href,freeShipping,numsold,rating,noofcomment
0,29,2023-03-12 21:29:33.065583,Budget Gaming PC,CUSTOM GAMING PC / PC GAMING / DESKTOP / GTX / INTEL / PUBG / VALORANT CPU,/CUSTOM-GAMING-PC-PC-GAMING-DESKTOP-GTX-INTEL-PUBG-VALORANT-CPU-i.21535037.2773377538,Yes,7.0,5.0,138.0
1,29,2023-03-12 21:29:38.463200,Ironless Blouse,HERNES BLOUSE ERINA  BLOUSE IRONLESS BLOUSE MUSLIMAH POCKECT BLOUSE KNITED TSHIRT MUSLIMAH BLOUSE LABUH BLOUSE PLUS SIZE,/HERNES-BLOUSE-ERINA-BLOUSE-IRONLESS-BLOUSE-MUSLIMAH-POCKECT-BLOUSE-KNITED-TSHIRT-MUSLIMAH-BLOUSE-LABUH-BLOUSE-PLUS-SIZE-i.126008214.5362846216,Yes,19.0,5.0,2617.0
2,29,2023-03-12 21:29:43.838884,Muslimah Suit,BAJU SUiT (Blouse +seluar) MUSLIMAH SET SELUAR PREMIUM MOSSCREPE PART 2,/BAJU-SUiT-(Blouse-seluar)-MUSLIMAH-SET-SELUAR-PREMIUM-MOSSCREPE-PART-2-i.366134496.5892289887,Yes,227.0,5.0,273.0
3,29,2023-03-12 21:29:49.212971,Computer Desktop,( HP Core 2 Duo Full Set REFURBISHED ) HP COMPAQ 6000 SFF 2-4 gb DDR3 / DESKTOP /17''- 19'' LCD BLACK,/(-HP-Core-2-Duo-Full-Set-REFURBISHED-)-HP-COMPAQ-6000-SFF-2-4-gb-DDR3-DESKTOP-17''-19''-LCD-BLACK-i.206155856.17147594446,Yes,8.0,5.0,33.0
4,29,2023-03-12 21:29:54.593218,Computer Monitor,"VIEWSONIC 27"" VX2718-PC-MHD (CURVED) / VX2718-P-MHD (FLAT) LED FULL HD VA GAMING LCD MONITOR (1MS, 165Hz, SPEAKER, VESA)",/VIEWSONIC-27-VX2718-PC-MHD-(CURVED)-VX2718-P-MHD-(FLAT)-LED-FULL-HD-VA-GAMING-LCD-MONITOR-(1MS-165Hz-SPEAKER-VESA)-i.29242218.1357813684,Yes,40.0,5.0,221.0
5,29,2023-03-12 21:30:00.001341,Muslimah Blouse,Cotton crepe  muslimah blouse (ready stock)BL3051,/Cotton-crepe-muslimah-blouse-(ready-stock)BL3051-i.191078204.11737037184,Yes,43.0,5.0,509.0
6,29,2023-03-12 22:30:15.092648,TWS Wireless Earbuds,TWS M25 Bluetooth Earphone Wireless Headphone 9D Stereo Sports Gaming Earbuds LED Mic Wireless Earbud Fon Telinga 无线蓝牙耳机,/TWS-M25-Bluetooth-Earphone-Wireless-Headphone-9D-Stereo-Sports-Gaming-Earbuds-LED-Mic-Wireless-Earbud-Fon-Telinga-无线蓝牙耳机-i.144305769.2311868191,Yes,242.0,5.0,12220.0
7,29,2023-03-12 22:30:20.504993,Comfy Home Slipper,Candia Women Ladies Anti Slip Indoor Slipper Thick Sole Slip On Sandals J2E2215,/Candia-Women-Ladies-Anti-Slip-Indoor-Slipper-Thick-Sole-Slip-On-Sandals-J2E2215-i.128204291.19762457022,Yes,154.0,5.0,162.0
8,29,2023-03-12 22:30:25.866199,Variety Of Sambal,SAMBAL HIJAU POTAI MELIMPAH,/SAMBAL-HIJAU-POTAI-MELIMPAH-i.697731812.23008184923,Yes,139.0,5.0,196.0
9,29,2023-03-12 22:30:31.228646,Sampul Raya,Sampul Duit Raya 2023 | 1 PACK (5 PCS) | 12 Design EXCLUSIVE | READY STOCK | Fast Delivery !,/Sampul-Duit-Raya-2023-1-PACK-(5-PCS)-12-Design-EXCLUSIVE-READY-STOCK-Fast-Delivery-!-i.326363516.8518748738,Yes,160.0,5.0,1607.0
