,Date,Category,title,href,freeShipping,numsold,rating,noofcomment
17,2023-03-12 21:29:33.065583,Budget Gaming PC,Ryzen Custom Gaming PC R7 7700X / R5 7600X / 5600X + RTX 4090 / RTX 4080 / RTX 4070 Ti / RTX 3060 Ti / RTX 3060 /GTX1650,/Ryzen-Custom-Gaming-PC-R7-7700X-R5-7600X-5600X-RTX-4090-RTX-4080-RTX-4070-Ti-RTX-3060-Ti-RTX-3060-GTX1650-i.283323248.7341506199,Yes,9.0,5.0,108.0
18,2023-03-12 21:29:33.065583,Budget Gaming PC,"Gaming PC office pc intel i7 i5 8GB RX570 GTX1650 RX470 DDR5 GTX750TI GTX950 desktop CPU i3 Dell Hp 23"" gtx1060 GTX1070",/Gaming-PC-office-pc-intel-i7-i5-8GB-RX570-GTX1650-RX470-DDR5-GTX750TI-GTX950-desktop-CPU-i3-Dell-Hp-23-gtx1060-GTX1070-i.120583404.1840419845,Yes,9.0,5.0,473.0
19,2023-03-12 21:29:33.065583,Budget Gaming PC,FULL SET Intel Core i7 12th 13th RTX4080 RTX3090 RTX3080 RTX3070 Gaming PC Desktop High End Premium Meticulously Crafted,/FULL-SET-Intel-Core-i7-12th-13th-RTX4080-RTX3090-RTX3080-RTX3070-Gaming-PC-Desktop-High-End-Premium-Meticulously-Crafted-i.12866300.6359900894,Yes,9.0,5.0,4.0
20,2023-03-12 21:29:33.065583,Budget Gaming PC,Custom PC Link / Gaming Store PC Package,/Custom-PC-Link-Gaming-Store-PC-Package-i.54338795.6894755671,Yes,9.0,5.0,7.0
21,2023-03-12 21:29:33.065583,Budget Gaming PC,Gaming PC Package With RYZEN 5 5600G (16GB DDR4 / 500GB M.2 SSD ),/Gaming-PC-Package-With-RYZEN-5-5600G-(16GB-DDR4-500GB-M.2-SSD-)-i.17919052.11533062995,Yes,8.0,5.0,4.0
22,2023-03-12 21:29:33.065583,Budget Gaming PC,PC Gaming Desktop case,/PC-Gaming-Desktop-case-i.308031559.13341684350,Yes,8.0,5.0,45.0
23,2023-03-12 21:29:33.065583,Budget Gaming PC,PC Package RGB Customize Gaming PC Desktop PUBG GTAV TOMB RAIDER FORTNITE,/PC-Package-RGB-Customize-Gaming-PC-Desktop-PUBG-GTAV-TOMB-RAIDER-FORTNITE-i.12866300.14160576527,Yes,8.0,5.0,64.0
24,2023-03-12 21:29:33.065583,Budget Gaming PC,"Pc Gaming /Desktop/Desktop gaming/Cpu gaming/Pc/ Cpu/Pubg,Dota,Gta v,AUTOCAD,ADOBE",/Pc-Gaming-Desktop-Desktop-gaming-Cpu-gaming-Pc-Cpu-Pubg-Dota-Gta-v-AUTOCAD-ADOBE-i.100930526.5755061974,Yes,7.0,5.0,48.0
25,2023-03-12 21:29:33.065583,Budget Gaming PC,Core I5 ​​Complete Set gaming pc with graphic card,/Core-I5-​​Complete-Set-gaming-pc-with-graphic-card-i.308031559.16806583603,Yes,7.0,5.0,22.0
26,2023-03-12 21:29:33.065583,Budget Gaming PC,Intel Custom Gaming PC 13th Gen i7 / i5 / i3 - RTX 4090 / RTX 4080 / RTX 4070 / RTX 3060 Ti / 3060 / RTX 3050 / GTX 1650,/Intel-Custom-Gaming-PC-13th-Gen-i7-i5-i3-RTX-4090-RTX-4080-RTX-4070-RTX-3060-Ti-3060-RTX-3050-GTX-1650-i.283323248.7457930557,Yes,7.0,5.0,98.0
